Date,Season,Details
11/28/2010,2010-2011,"The NBA fined coach Byron Scott (Cle) $35,000 for publicly criticizing the refs following Friday's Orl-Cle game."
11/30/2010,2010-2011,The NBA suspended Stephen Jackson (Cha) for 1 game for verbally abusing the refs and failing to leave the court in a timely manner following his ejection from Saturday's Mil-Cha game.
12/1/2010,2010-2011,The NBA suspended Hilton Armstrong (Was) for one game for his flagrant foul against Joel Anthony (Mia) during Monday's Mia-Was game.
12/6/2010,2010-2011,The NBA suspended Brian Cook (LAC) for 2 games for his flagrant foul on Joel Przybilla (Por) during Sunday's LAC-Por game.
12/6/2010,2010-2011,The NBA suspended Andre Miller (Por) for 1 game for making excessive and unnecessary contact with Blake Griffin (LAC) during Sunday's LAC-Por game.
12/18/2010,2010-2011,The NBA suspended Rudy Gay (Mem) for 1 game for his flagrant foul against Luis Scola (Hou) during Friday's Hou-Mem game.
12/18/2010,2010-2011,"The NBA fined Andre Miller (Por) $25,000 for throwing the ball into the stands at the end of Wednesday's Dal-Por game."
12/18/2010,2010-2011,"The NBA fined George Karl (Den) $25,000 for publically criticizing the refs following Thursday's Den-Por game."
12/25/2010,2010-2011,Washington suspended Andray Blatche and JaVale McGee for conduct detrimental to the team. The two reportedly threw punches at each other outside a club late Friday night.
12/27/2010,2010-2011,"The NBA fined Shaquille O'Neal (Bos) $35,000 for his comments about the officiating following Saturday's Bos-Orl game."
12/28/2010,2010-2011,The NBA suspended Earl Boykins (Mil) for 1 game for making intentional contact with a ref during Monday's Mil-Atl game.
1/1/2011,2010-2011,"The NBA fined Stan Van Gundy (Orl) $35,000 for his comments about the refs following Thursday's Orl-NY game."
1/1/2011,2010-2011,"The NBA fined Paul Pierce (Bos) $15,000 for throwing an object into the stands during Wednesday's Bos-Ind game."
1/17/2011,2010-2011,The NBA suspended Tyrus Thomas (Cha) for 1 game for his flagrant foul on Emeka Okafor (NO) during Saturday's Cha-NO game.
1/22/2011,2010-2011,Atlanta suspended Josh Powell for one game for conduct detrimental to the team.
1/27/2011,2010-2011,The NBA suspended O.J. Mayo for 10 games for violating the terms of the anti-drug program. Mayo tested positive for dehydroepiandrosterone (DHEA) which Mayo claims was in an over the counter supplement that he didn't know was banned by the NBA.
1/29/2011,2010-2011,The NBA suspended Marvin Williams (Atl) for 2 games and Shawne Williams (NY) for 1 game for their altercation during Friday's Atl-NY game where MWilliams threw 2 punches and SWilliams threw 1 punch.
1/30/2011,2010-2011,"The NBA fined Doc Rivers (Bos) $15,000 for failing to leave the court in a timely manner following his ejection from Friday's Pho-Bos game."
1/30/2011,2010-2011,"The NBA fined Josh Smith (Atl) $25,000 for making an obscene gesture during Friday's Atl-NY game."
1/31/2011,2010-2011,"The NBA fined Eddie House (Mia) $25,000 for making an obscene gesture during Sunday's Mia-OKC game."
2/3/2011,2010-2011,"The NBA fined New York $200,000 and team scout Rodney Heard $20,000 for conducting illegal draft workouts."
2/4/2011,2010-2011,"The NBA fined Avery Johnson (NJ) $25,000 for improper conduct towards a ref during Wednesday's Phi-NJ game."
2/5/2011,2010-2011,"The NBA fined J.R. Smith (Den) $25,000 for his flagrant foul on Raja Bell (Uta) during Friday's Den-Uta game."
2/7/2011,2010-2011,Houston suspended Aaron Brooks for 1 game for leaving the court during the 4th quarter of Saturday's Hou-Mem game. Brooks was placed on IL and Ism Smith was activated (after being recalled from the NBADL).
2/11/2011,2010-2011,"The NBA fined Chris Paul (NO) $15,000 for verbally abusing the ref following Wednesday's NO-NJ game."
2/14/2011,2010-2011,Sacramento fined DeMarcus Cousins one game's pay for his fight with teammate Donte Greene in the lockerroom following Saturday's Sac-OKC game. Cousins did not play in Sunday's game at Phoenix while the team reviewed the incident.
2/26/2011,2010-2011,"Detroit fined Richard Hamilton, Chris Wilcox, Austin Daye, and Rodney Stuckey for missing Friday's shootaround."
3/5/2011,2010-2011,"The NBA suspended Dwight Howard (Orl) for 1 game for collecting his 16th technical foul of the season. A player is automatically suspended for 1 game for his 16th, 18th, 20th, ... technical foul in the regular season."
3/5/2011,2010-2011,"The NBA fined Erick Dampier (Mia) $10,000 for his flagrant foul on Tony Parker (SA) during Friday's Mia-SA game."
3/10/2011,2010-2011,"The NBA fined Marco Belinelli (NO) $10,000 for his flagrant foul on Shawn Marion (Dal) during Wednesday's Dal-NO game and upgraded the flagrant foul to a level 2."
3/20/2011,2010-2011,The NBA suspended Andrew Bynum (LAL) for 2 games for his flagrant foul on Michael Beasley (Min) during Friday's LAL-Min games.
3/20/2011,2010-2011,The NBA suspended Aaron Brooks (Pho) for 1 game for throwing a ball at a ref during Friday's GS-Pho game.
3/31/2011,2010-2011,"The NBA suspended John Wall (Was) for 1 game and fined Juwan Howard (Mia) $35,000 and Zydrunas Ilgauskas (Mia) $25,000 for their altercation during Wednesday's Was-Mia game."
4/1/2011,2010-2011,The NBA suspended Matt Barnes (LAL) for 1 game for escalating an altercation between Jason Terry (Dal) and Steve Blake (LAL) during Thursday's Dal-LAL game.
4/7/2011,2010-2011,The NBA suspended Dwight Howard (Orl) for 1 game for receiving his 18th technical of the season (an automatic suspension).
4/7/2011,2010-2011,The NBA suspended Quentin Richardson (Orl) for 2 games for shoving Gerald Henderson (Cha) in the face during Wednesday's Orl-Cha game.
4/8/2011,2010-2011,"The NBA fined New Jersey $50,000 for co-owner Jay-Z having been in the University of Kentucky locker room during the NCAA tournament, which violated the NBA rule restricting contact between NBA personnel and underclassmen."
4/9/2011,2010-2011,The LA Clippers suspended Eric Bledsoe for 1 game for violating team rules.
4/13/2011,2010-2011,The NBA suspended Charlie Villanueva (Det) for 5 games for initiating an altercation with Ryan Hollins (Cle) during Monday's Det-Cle game and for attempting to escalate the altercation after his ejection by trying to enter Cleveland's locker room. He served the first game of the suspension Wednesday and the remaining 4 games will be served at the start of the next regular season.
4/13/2011,2010-2011,"The NBA fined Kobe Bryant (LAL) $100,000 for calling a ref a derogatory homosexual slur during Tuesday's LAL-SA game."
4/14/2011,2010-2011,"The NBA fined Phil Jackson (LAL) and the LA Lakers $75,000 each for comments Jackson made about the collective bargaining negotiations - Jackson's comments were about how many suspect that games will be missed next season. The league strictly prohibits NBA personnel from discussing publically anything about the negotiations."
4/18/2011,2010-2011,"The NBA fined Nate McMillan (Por) $35,000 for his post-game comments criticizing the officiating following Saturday's Por-Dal game."
4/23/2011,2010-2011,The NBA suspended Zaza Pachulia (Atl) and Jason Richardson (Orl) for 1 game for their altercation during Friday's Atl-Orl game.
5/5/2011,2010-2011,The NBA suspended Ron Artest (LAL) for 1 game and assessed him a flagrant foul for hitting J.J. Barea (Dal) in the face late in Wednesday's Dal-LAL game.
5/8/2011,2010-2011,"The NBA fined Phil Jackson (LAL) $35,000 for his comments to the media on Thursday about how the officials were not calling fouls committed on Pau Gasol (LAL)."
5/10/2011,2010-2011,"The NBA suspended Andrew Bynum (LAL) for 5 games for his flagrant foul on J.J. Barea (Dal) during Sunday's Dal-LAL game and fined him $25,000 for taking off his jersey as he left the court. Bynum will serve his suspension at the start of the next regular season."
5/23/2011,2010-2011,"The NBA fined Joakim Noah (Chi) $50,000 for making a homosexual slur against a fan during Sunday's Chi-Mia game."
6/8/2011,2010-2011,The NBA fined Gilbert Arenas (Was) for comments he made on his Twitter page. The league did not announce the fine (but did confirm it) nor did they state the reason for the fine.
9/12/2011,2011-2012,"The NBA fined Charlotte owner Michael Jordan an undisclosed about (reported to be $100,000) for public comments he made about the collective bargaining process."
10/31/2011,2011-2012,"The NBA fined Miami owner Micky Arlson $500,000 for comments he made about the collective bargaining process on his Twitter account [all teams' personal are prohibited from making public comments about the lockout and negotiations]."
12/23/2011,2011-2012,"Due to the lockout shorten season, the NBA reduced Andrew Bynum's (LAL) 5 game suspension to 4 games and Charlie Villanueva's (Det) 5 game suspension to 4 games. Bynum's suspension is from a flagrant foul on an airborn J.J. Barea (then with Dal) during Game 4 of the LAL-Dal series in the 2nd round of the playoffs. Villanueva's suspension is from an altercation with Ryan Hollins (Cle) and trying to go after Hollins in the lockerroom in the 4/11/11 Det-Cle regular season game. Villanueva served 1 game of the suspension at the end of last season and will serve the remaining 3 games at the start of the 11-12 season."
12/27/2011,2011-2012,The NBA suspended Drew Gooden (Mil) for 1 game for his flagrant foul on Gerald Henderson (Cha) during Tuesday's Cha-Mil games.
1/2/2012,2011-2012,"The NBA fined Josh Howard (Uta) $25,000 for his flagrant foul on James Anderson (SA) during Saturday's Uta-SA game."
1/20/2012,2011-2012,Milwaukee suspended Stephen Jackson for 1 game for missing Friday morning's shootaround.
1/21/2012,2011-2012,"The NBA fined Derrick Favors (Uta) $25,000 for throwing the ball in to the standings during Thursday's Dal-Uta game."
1/25/2012,2011-2012,The NBA suspended Robin Lopez (Pho) for 1 game for making contact with a ref during Tuesday's Pho-Tor game.
1/28/2012,2011-2012,The NBA suspended Stephen Jackson (Mil) for 1 game for verbally abusing the ref and failure to leave the court in a timely manner during Friday's Mil-Chi game.
2/3/2012,2011-2012,"The NBA fined Dallas owner Mark Cuban $75,000 for criticizing the refs following Wednesday's Dal-OKC game."
2/3/2012,2011-2012,"The NBA fined Dallas coach Rick Carlisle $35,000 for kicking the ball into the stands during Wednesday's Dal-OKC game."
2/3/2012,2011-2012,Orlando suspended Glen Davis for 2 games for conduct detrimental to the team. Davis reportedly got in a verbal argument with the head coach in practice.
2/6/2012,2011-2012,The NBA suspended Kevin Love (Min) for 2 games for stomping on the upper body of Luis Scola (Hou) while Scola was on the floor during Saturday's Min-Hou game.
2/6/2012,2011-2012,"The NBA fined LA Lakers coach Mike Brown $25,000 and suspended him for 1 game for making contact with a ref and failing to leave the court in a timely manner following his ejection during Saturday's LAL-Uta game."
2/15/2012,2011-2012,"The NBA fined Howard Eisley (LAC assistant coach) $15,000 for verbally abusing a ref during Monday's Dal-LAC game."
2/20/2012,2011-2012,The NBA suspended Rajon Rondo (Bos) for 2 games for throwing a ball at a ref during Sunday's Bos-Det game.
3/7/2012,2011-2012,"The NBA fined Jason Kidd (Dal) $25,000 for criticizing the refs following Monday's Dal-OKC game."
3/9/2012,2011-2012,The NBA suspended Hedo Turkoglu (Orl) for 1 game for making contact with a ref during Thursday's Orl-Chi game.
3/10/2012,2011-2012,"The NBA fined J.R. Smith (NY) $25,000 for posting a picture of a scantily clad woman on his Twitter account."
3/13/2012,2011-2012,"The NBA fined Derrick Rose (Chi) $25,000 for criticizing the refs following Monday's Chi-NY game."
3/19/2012,2011-2012,"The NBA fined Patrick Patterson (Hou) $25,000 for criticizing the refs in comments he made on Twitter."
3/23/2012,2011-2012,The NBA suspended Jason Smith (NO) for 2 games for his flagrant foul on Blake Griffin (LAC) during Thursday's LAC-NO game.
3/24/2012,2011-2012,The NBA suspended Arron Afflalo (Den) for 1 game for throwing an elbow to Gordon Hayward's (Uta) head during Friday's Den-Uta game.
3/28/2012,2011-2012,"The NBA fined Glenn Davis (Orl) $35,000 for making an obscene gesture during Monday's Orl-Tor game."
3/30/2012,2011-2012,"The NBA fined Reggie Evans (LAC) $25,000 for making an obscene gesture during Monday's LAC-NO game."
4/6/2012,2011-2012,"The NBA fined DeMarcus Cousins (Sac) $25,000 for publicly criticizing the refs after Thursday's Sac-LAC game."
4/9/2012,2011-2012,Orlando suspended Chris Duhon for 1 game for violating team rules.
4/18/2012,2011-2012,"The NBA fined Delonte West (Dal) $25,000 for giving Gordon Hayward (Uta) a wet willy (poking him in the ear with a finger) during Monday's Dal-Uta game."
4/20/2012,2011-2012,"The NBA suspended Larry Sanders (Mil) for 2 games for starting an altercation and failing to leave the court in a timely manner during Thursday's Ind-Mil game. The NBA fined Danny Granger (Ind) and David West (Ind) $25,000 each for their roles in the altercation."
